Country Name,corruption_perception_estimate,access_to_electricity_percent,co2_emissions_per_capita,mobile_cellular_subscriptions_per_100_people,agriculture_value_added_percent_gdp,industry_value_added_percent_gdp,gdp_growth_annual_percent,gdp_per_capita_usd,stability_of_government_estimate,health_expenditure_pct_gdp,child_mortality_rate,life_expectancy_at_birth,fertility_rate_total,population_65_plus_percent,population_total,urban_population_percent
Kosovo,-0.263819605112076,90.66,1.8297275873341445,34.5402,7.392605461026401,27.244181391807547,4.278498958275435,5290.947472246869,-0.198845237493515,7.7326882359999995,8.7,77.623,1.5549999999999997,9.23920193067768,1768096.0,68.622
Kuwait,0.127275705337524,100.0,23.83568830952647,168.35,0.402460287681043,65.76632892297107,6.758667046506716,39981.769098195735,0.29189202189445496,4.26875782,7.599999999999998,80.58780487804879,1.546,2.74657831156504,4589643.0,100.0
Kyrgyz Republic,-1.23040282726288,99.7,1.4782329446239686,106.926,10.99680566519774,24.19414219776426,8.96750520041391,1739.7201834417465,-0.471610426902771,4.92258883,15.1,72.04878048780488,2.8,5.19936059005824,6975220.0,37.461
Lao PDR,-0.96577924489975,100.0,3.247900154081085,63.3546,14.868882228227642,34.108979734211154,2.707426526431547,2046.4044025562034,0.789451360702515,2.0182547599999996,36.4,68.715,2.455,4.41710766922774,7559007.0,37.592
Latvia,0.693807184696198,100.0,3.5425988209960395,115.203,5.078001394749398,20.72298711830508,1.8067719800806543,20227.230743158063,0.48640912771225,7.62168407,2.6999999999999993,74.27804878048782,1.47,21.0117630297337,1879383.0,68.54
Lebanon,-1.12730157375336,100.0,2.93693660132346,74.0148,1.1895732629522016,2.390762099753932,-0.6216789706631118,3654.3584553487854,-1.4225754737854,5.73500204,15.1,78.003,2.263,9.51346669072451,5744489.0,89.262
Lesotho,-0.368640840053558,50.0,0.37259799397229365,68.1001,5.950853952753069,30.48874128260694,2.3877802018628387,1030.1257962883283,-0.292736917734146,12.65127754,57.6,56.812,2.716,3.7929706372461,2286110.0,29.942999999999998
Liberia,-0.925476372241974,31.799999999999997,0.31265737553165707,32.06389999999999,36.2030463526172,20.68854727275136,4.808105172906551,744.6171752373884,-0.267271250486374,13.47386169,53.9,61.934,4.016,3.2525393175955006,5373294.0,53.065
Libya,-1.52629828453064,70.0,7.897029335647903,192.973,1.6864376993735348,76.83807986471425,-8.251630041052877,5986.63694851258,-2.19370174407959,4.65005827,8.4,74.462,2.402,4.74866117985336,7223805.0,81.302
Liechtenstein,1.71488809585571,100.0,4.499381967522611,126.307,0.17175545430027306,40.62797200811935,3.117957675028117,186821.88175715695,1.64275300502777,8.622546292000001,5.4,84.1219512195122,1.47,19.6263702724012,39493.0,14.538000000000004
Lithuania,0.746974110603333,100.0,4.643988870050173,135.834,3.927938291255397,25.639869588622204,2.537525740115342,25085.78406349905,0.653032541275024,7.24335003,2.8999999999999986,75.64390243902439,1.27,19.8607556942966,2831639.0,68.465
Luxembourg,1.88359045982361,100.0,11.120757369052049,139.651,0.24216747829875374,9.113799153004198,-1.0950535116083557,123719.6589159963,1.06439006328583,5.55154753,2.0,82.94634146341465,1.31,14.8424375777289,653103.0,91.881
"Macao SAR, China",0.868464589118958,100.0,4.311678724346671,172.245,3.0608991619269306,9.251920663813156,-19.609344932572757,36909.95640903118,1.12270271778107,8.627670668,4.620000000000001,83.08048780487806,0.6800000000000002,12.7420560469024,677300.0,100.0
Madagascar,-0.969914019107819,36.1,0.13108603957498044,64.7495,21.544235787842723,23.35681615429949,4.1560977838081214,503.51453347288043,-0.48079660534858704,3.25023246,44.7,63.068,4.036,3.26762489022296,30437261.0,39.882
Malawi,-0.608851909637451,14.0,0.28916712788462196,59.6496,27.597551876220145,16.90734353839952,0.9211150690059351,604.2697511845145,-0.157983273267746,6.50023508,30.5,66.037,3.72,2.61321944653068,20568728.0,17.980000000000004
Malaysia,0.248940765857697,100.0,7.907148055224348,138.208,8.950720822756074,39.09483430097694,8.861821875780464,11748.091930794437,0.163117811083794,3.90591931,6.699999999999999,75.444,1.5500000000000003,7.18563935667379,34695493.0,78.214
Maldives,-0.332713663578033,100.0,5.305796918943877,136.459,5.06182902835499,9.918601294123835,13.826089530681358,11786.009154534322,0.645002782344818,9.65276241,5.300000000000001,80.76,1.583,4.08161318358005,524106.0,41.536
